,id,name,latitude,longitude,street,neighbourhood,transit,price,extra_people,accommodates,beds,bedrooms,bathrooms,room_type,square_feet,description,minimum_nights,host_id,city,country,has_wifi,has_heating,has_freezer,has_kitchen,has_TV,has_parking,has_elevator,has_living_room,smoking,pets,events,reserved,first,last
0,5731498,A 2-bdrm house in Plaka of Athens,37.969470121866024,23.729083337475263,"Vyronos, Athina, 105 58, Greece",Plaka,"Kolonaki area is just 5 minutes away on foot: It is the finest shopping area in Athens with the most famous designers boutiques and brands. Here you can also find some of the best bars and restaurants in the city. Syntagma square, the most central square in the city is just 10 minutes away from home. Transportation: 2 very central metro stations are within 7 minutes walking distance:  .Panepistimio (Line2-RED) .Syntagma (Line2-RED and Line3-BLUE)",120.00,15.00,5,3.0,2.0,1.0,Entire home/apt,1422.0,"Ideally located a unique house in a very peaceful neighborhood of Plaka, near Acropolis. It is a traditional house in the heart of the historical center of Athens, in Plaka. The kitchen is fully equipped with oven, fridge with freezer. Cutlery, dishes and pans, kettle, espresso coffee maker (espresso capsules are provided), toaster. There is also a vacuum cleaner and a laundry machine. One big closet will make your stay more comfortable. Bed linen, towels and bath amenities are provided. Moreover, the apartment is fully airconditioned. The apartment is very close to a greek traditional tavernas, a pharmacy, banks and public transport.  Airport or any other transport is available upon demand at an additional but very reasonable cost. ",2,748818,Athina,Greece,True,True,True,True,True,False,False,False,False,False,False,False,2015-07-17,2016-07-15
1,1108690,"Just 200m from Acropolis, Athens",37.968869919951636,23.72896955578761,"Chatzichristou, Athens, Attica 117 42, Greece",Akadimia Platonos,So easy and comfortable. The Thisseio Metro station is at 5-10 minutes walk and also the Kerameikos metro station is at 5-10 minutes walk.  Tourist Buses at 10 minutes near the Thisseio station. With the metro one can go to the Athens International airport in 60 minutes time. From Syntagma you can take the tramway and go to the Athens sea front,42.00,17.00,2,1.0,1.0,1.0,Entire home/apt,1972.0,"Sunny & Quiet apartment  at the first floor in a beauty full building. Just 100 meters from Acropolis & 30 meters from the Acropolis Musuem. Bedroom with double futon bed, a kitchen, wireless internet, landline and a confortable bathroom.  The flat is able to host up to 3 accommodates. Alll this just around the corner of the new Acropolis musuem.that leads to Plaka Area,Irodeion theatre and Thision. Plaka is the area under the stone hill of Acropolis full with restaurants which serve delicious traditional food. Erodeion is an ancient greek theatre where concerts and theater performances taking place. Thision area is also very close to the apartment.Thision is well known for its bars and restaurants.What is more, the area is very well connected not only with the center of the town but also with the sea. Metro Acropolis is only ! 50 meters from the flat.Buses and tram are also very close. If you have any questions,do not hesitate to contact me. ",1,2436598,Athens,Greece,True,True,False,True,False,False,True,False,False,False,False,False,2015-07-18,2016-07-16
2,1286210,Zen space near center of Athens,37.989954745633725,23.758910281603452,"Vatheos, Athens, Attica 115 22, Greece",Kolonos,Panepistimio metro station is in only 10' walk distance. Closest bus station (Ippocratous str.) is at the next corner.,48.00,0.00,2,1.0,1.0,1.0,Entire home/apt,2279.0,"JUST REFURBISHED - BRAND NEW APARTMENT. Very earthly energy. It is situated on the ground floor of a building. So...a zen apartment near the center of Athens. It is situated only fourty minutes from Athens airport by metro (no change is required). Once you get off at the metro stop Ambelokipi, you walk  minutes and voila!!! Three metro stops more and you will find yourselves in the center of Athens.  Back to zen.....it is a one bedroom apartment with a small dinning room and a living room.  The main glass wall provides a unique lighting throughout the day. At night the street light gives an overall warm glow to the space. A kitchen door leads to a small courtyard. At night the courtyard lights give a depth to the entire space. There is a mini market open from 10am to 12 midnight which can accommodate all your needs. There is also an excellent restaurant nearby where one can enjoy a fine lunch or a relaxing dinner. A less pricy restaurant is situated just across the street.",1,372161,Athens,Greece,True,True,False,True,False,False,False,True,False,True,False,False,2015-07-17,2016-07-15
3,918812,Athens Soul Apartments Plaka,37.969859435055255,23.731203858464923,"Frinichou, Athens, Attica 105 58, Greece",Exarcheia,"Lots of buses, trolleys, and the metro of course.",40.00,0.00,2,1.0,1.0,1.0,Entire home/apt,323.0,"This 30m2 flat on Frinihou str. is located in Plaka, the old part of the city, at the foot of the Acropolis in the heart of Athens. Frinihou str. is a quiet street very close to a main street which leads to the New Acropolis Museum. The flat is only 100m away from the “Acropolis” Metro station as well as the New Acropolis Museum. Very close -less than 50m away- the Dionisiou Aeropagitou pedestrian street starts which is considered one of the most beautiful pedestrian streets in Athens. It takes straight to the Herodou Attikou ancient theatre. The flat is in the semi-basement of a stately building with its own court aglaise. It overlooks the street and its really sunny and bright. The flat is fully furnished, beautifully decorated and equipped with a kitchen , air-conditioning , central heating, a telephone line and free Internet. It is a two person flat but there is plenty of room for a third person. Super offer Two bicycles at your disposal, to ride the historical part of Athens free ",3,4935030,Athens,Greece,True,True,False,True,False,False,False,False,False,False,False,False,2015-07-18,2016-07-16
4,240960,ATHENS DESIGNER'S LOFT DOWNTOWN ,37.979523198090895,23.723668102859826,"Pallados, Athens, Attica 105 54, Greece",Psyri,metro station MONASTIRAKI.,70.00,10.00,4,1.0,1.0,1.0,Entire home/apt,954.0,"Designer's down town loft, constructed by an architect, more than once published in architectural magazines (like 'House & Garden', 'Maison & Decoration', etc.). Fully equipped with high tech devices - 2 flat screen 40' and 60' TV, home cinema Wi-Fi, fully air condition. Central Psyri Square view, sunset view, extremely luminous place. A down town loft in the most convenient area of Psyri which has archaeological as well as cosmopolitan and urban value.  ""monastiraki"" metro station with direct itinerary to/from the airport is in Walking distance (approx. 2 min.)  from the Acropolis and historic area of Thisseion and Plaka. Walking distance (approx. 12 min)  from Gazi area, famous for it's alternative night-life and clubbing. Walking distance (approx. 15 min) from Kolonaki area, the best market and shopping centre. One big bedroom with a 2.00x2.00m bed And a very big sofa for 2-3 persons. Full equipped bathroom with 2 access from the living room and from the bedroom. If you have any mor",2,1264236,Athens,Greece,True,True,False,True,True,False,True,True,True,True,False,False,2015-07-18,2016-07-16
5,587782,Breath Away National Garden wifi,37.976575787464846,23.73303766796203,"Voulis, Athens, 105 62, Greece",Plaka,"The apartment has excellent access to the Monastiraki train and metro station, the Syntagma square metro station, walking distance from Plaka, the Acropolis, Ermou Street, Psirri and Thiseion. ",40.00,0.00,2,1.0,1.0,1.0,Entire home/apt,1498.0,"A breath away from  Zappeion and the National Royal Garden  just a few seconds away . There are supermarkets, stores, restaurants, caffes, banks and pharmacies within a 2min. walking . Fully Furnished Studio on the 1st  floor  ,28.00 square meters including:1 spacious area, full bath with shower and fully equipped small kitchen. Studio amenities include: Hot water, Flat LCD  TV, Hair dryer,Iron, Cooking facilities,  air-conditioning , Washing Machine, Coffee maker, Toaster, Kettler,Refrigerator, Micro Wave, Oven. kitchen accessories (plates, dishes, pots, ventilation, etc). It also includes: 1 double bed with all necessary accessories (linens, pillows, etc) High speed internet is provided free For the benefit of all guests: No pets and No Smoking",3,172333,Athens,Greece,True,True,False,True,True,False,True,False,False,False,False,False,2015-07-18,2016-07-16
6,1116076,Central Location,37.97909305983615,23.72831693586768,"Agathonos, Athens, Attica 105 51, Greece",Pedion Areos,The transportation from or to the house is by bus or trolley ( until 12 o clock in the night ) or taxi.  Syntagma square is a 10 min bus ride from the Plastira square.,70.00,10.00,4,1.0,2.0,1.5,Entire home/apt,2043.0,"Spacious first floor 2 bedroom apartment perfectly located for sightseeing, transport and shopping. Fully self contained with an eat in kitchen. The apartment is large with 2 separate bedrooms to the living area. The second bedroom is the 'meditation room and library' photo where we have 2 collapsible single beds separate to the library area. The apartment is on the first floor with no lift. Central to all that Athens has to offer with easy access to transport, including Monastiraki station, buses and taxis. Convenient to cafes and restaurants with a cafe/bar opposite serving home made local food and authentic Greek coffee and wine, among many other things... or just grab a takeaway and sit on your balcony and watch the Athens activity go by. The apartment block is a modernized Art Deco four storey apartment block central to the Plakka, the markets, museums and Evripidou Street, the designers' shopping strip. You'll just love being totally in the thick of it all!",2,6125356,Athens,Greece,False,True,False,True,False,False,False,False,False,False,False,False,2015-07-18,2016-07-16
7,134273,Renovated old house,37.98164980565811,23.714292166021472,"Paramythias, Athens, Attica 10435, Greece",Akadimia Platonos,"You have the metro 500 meters away from the house that can take you everywhere you want to go. There is also buss-stop/tram right outside the door. (Not that this is needed, from here you can walk 10-20 minutes to see mostly all of the center, Akropolis, Syntagma, Monasteraki, Filopapou, Syntagma, Lykavitos hill)",30.00,0.00,4,1.0,2.0,5.0,Entire home/apt,1159.0,Old neoclassic architecture two level store. One floor (level) is for rent. Pedestrian area !,10,659132,Athens,Greece,False,False,False,False,False,False,False,False,False,False,False,False,2015-07-18,2016-07-16
8,1824675,Your room in the perfect area ,37.97230642446633,23.712209737541666,"Dimofontos, Athens, Attica 118 52, Greece",Goudi,"The house is in between of the train station of Petralona and Thisio.Depends which walk you are in the mood of doing you choose where to go. The line of the train is taking you directly in the port of Pireus if you want to take the boat to go to our islands.For the airport you have to take the train and go to Monastiraki and take the (website hidden) is very easy! Also if you want to spend less money you can take the train,go to Monastiraki and take the metro to go to Syntagma.There,every half an hour the bus is taking you directly to the airport..Depends on the time and the money you have, you choose the best for you. Also in the other side of the hill you can find two metro stations,of Acropolis and (website hidden) s about 20 minutes walking but if you deside it you won't be dissapointed.All this area is very beautiful and you can arrive either by walking through the hill or by the street. The street where the house is placed is quiet and without many cars,so with the parking you wo",45.00,15.00,5,3.0,1.0,1.5,Private room,955.0,"The house is located in one of the oldest and picturesque neighbourghoods of the center of Athens, called Ano Petralona. It is situated at the feet of filopappou hill right across the Acropolis. The house was built in the late 1950's and has remained since with its high ceilings and the traditional mosaique floors and a roof garden under the Attica sky.The living room is surrounded by 5 rooms, one fully equipped kitchen, a bathroom with a bath tub and a toilet, and a small w.c.  I share the house with my flatmate Panos and we both enjoy hosting and meeting new people from all over the world.  You will have at your disposal a large bedroom with a double bed and a private sitting room with eastern orientation and great shinning mornings! The kitchen is fully equipped and functional as is the bathroom.  Behind the kitchen a spiral ladder leads you to the roof garden that you can enjoy day and night and is the perfect place to relax.  The Ano Petralona is a lively neighbourhood, very close",1,9550291,Athens,Greece,True,True,False,True,False,False,False,True,True,True,False,False,2015-07-18,2016-07-16
9,360940,Vintage Design Flat downtown! ,38.00642361118162,23.73224172508163,"Karamanlaki, Athens, Attica 11253, Greece",Akadimia Platonos,The apartment is well connected in terms of transportation - the metro station and a major bus station are just minutes away.,65.00,15.00,4,3.0,2.0,1.5,Entire home/apt,1292.0,"the.flat |  A high-ceilinged penthouse of a 50s residential building in the centre of Athens, right in front of Kalliga Square and opposite the Theatre Library. ""the.flat"" is a personal space renovated in style a few months ago that kept its urban identity and now offers its space for a vintage short term stay to visitors from around the world.  ""the.flat"" has a large living room and dining room for 6, two large bedrooms, kitchen (refrigerator, mini oven, coffee maker and kettle), a bathroom with a bathtub, a w.c. and a large veranda. Provides free wi-fi. Central heating is provided by the building.  walking distances:  1 minute from Patission Ave (28th October Ave) /  6 minutes from Aghios Nikolaos Metro station /  12 minutes from Victoria Metro Station /  12 minutes from National Archaeological Museum /  20 minutes from Omonia Square.  One minute from two supermarkets, grocery stores, a National Bank branch, drugstores, parking stations and right in front of Karamanlaki Square.  Pati",2,1824707,Athens,Greece,True,False,False,True,True,False,True,True,False,False,False,False,2015-07-17,2016-07-15
